AAPL,GOOG,AMZN,MSFT
0.0,0.0,139311.91,0.0
0.0,0.0,136849.29,0.0
0.0,0.0,137202.93,0.0
0.0,12016.99,125300.57,0.0
0.0,0.0,136717.05,0.0
0.0,0.0,136038.64,0.0
0.0,0.0,138564.01,0.0
0.0,0.0,140774.51,0.0
0.0,0.0,140501.85,0.0
0.0,0.0,139907.84,0.0
0.0,0.0,105921.88,33157.28
0.0,0.0,140841.8,0.0
0.0,0.0,138795.7,0.0
0.0,0.0,129940.01,8571.83
0.0,0.0,137362.03,0.0
0.0,0.0,138062.34,0.0
0.0,0.0,140593.23,0.0
0.0,0.0,139290.32,0.0
0.0,0.0,138586.76,0.0
0.0,0.0,140524.82,0.0
0.0,0.0,138945.06,0.0
0.0,0.0,139811.49,0.0
0.0,0.0,140361.96,0.0
0.0,0.0,140384.76,0.0
0.0,0.0,142208.83,0.0
0.0,0.0,140316.36,0.0
0.0,0.0,139068.83,0.0
0.0,0.0,137945.07,0.0
0.0,0.0,138590.02,0.0
0.0,0.0,140313.11,0.0
0.0,0.0,141029.71,0.0
0.0,0.0,104350.79,35575.15
0.0,0.0,137891.75,0.0
0.0,0.0,139060.19,0.0
0.0,0.0,120454.14,18818.27
0.0,0.0,143042.24,0.0
0.0,0.0,141587.05,0.0
0.0,0.0,142033.05,0.0
0.0,0.0,145190.85,0.0
0.0,0.0,143514.28,0.0
0.0,0.0,143273.37,0.0
0.0,0.0,142622.29,0.0
0.0,0.0,139939.77,0.0
0.0,0.0,98877.09,41824.16
0.0,0.0,141770.88,0.0
0.0,0.0,141874.6,0.0
0.0,0.0,141333.31,0.0
0.0,0.0,141553.72,0.0
0.0,0.0,139278.33,0.0
0.0,0.0,140798.49,0.0
0.0,0.0,143754.56,0.0
0.0,0.0,147663.55,0.0
53296.9,0.0,96433.28,0.0
0.0,0.0,148321.55,0.0
0.0,0.0,152917.3,0.0
0.0,0.0,155338.99,0.0
0.0,0.0,156975.97,0.0
19436.95,0.0,137316.3,0.0
0.0,0.0,156839.98,0.0
0.0,0.0,154883.77,0.0
0.0,0.0,0.0,0.0
0.0,0.0,155465.94,0.0
0.0,0.0,153892.01,0.0
0.0,0.0,154760.9,0.0
0.0,0.0,157031.11,0.0
0.0,0.0,156852.66,0.0
0.0,0.0,156524.99,0.0
0.0,0.0,150763.51,4952.54
0.0,0.0,157212.03,0.0
0.0,0.0,155001.73,0.0
0.0,0.0,152999.3,0.0
0.0,0.0,153403.3,0.0
0.0,0.0,154416.22,0.0
0.0,0.0,153962.46,0.0
0.0,0.0,144734.44,10251.06
0.0,0.0,155529.76,0.0
0.0,0.0,156612.43,0.0
0.0,0.0,156553.9,0.0
0.0,0.0,155939.42,0.0
0.0,0.0,150924.02,0.0
0.0,38326.15,105889.44,0.0
0.0,0.0,135145.07,0.0
0.0,0.0,136020.04,0.0
0.0,0.0,146053.03,0.0
0.0,0.0,151186.2,0.0
0.0,0.0,151081.19,0.0
0.0,0.0,149587.92,0.0
0.0,0.0,144819.32,0.0
0.0,0.0,148905.44,0.0
0.0,0.0,147205.08,0.0
0.0,0.0,145536.8,0.0
0.0,0.0,150944.12,0.0
0.0,0.0,150754.54,0.0
0.0,0.0,152314.9,0.0
0.0,0.0,146823.93,7521.15
0.0,0.0,151995.39,0.0
0.0,0.0,152284.0,0.0
0.0,0.0,153747.45,0.0
0.0,0.0,157094.16,0.0
0.0,0.0,157499.38,0.0
0.0,0.0,159869.48,0.0
0.0,0.0,156957.15,0.0
0.0,0.0,156277.89,0.0
0.0,0.0,155601.55,0.0
0.0,0.0,147974.76,4950.39
0.0,0.0,147035.67,0.0
0.0,0.0,144704.97,0.0
0.0,0.0,149319.71,0.0
0.0,0.0,151895.44,0.0
0.0,0.0,155343.38,0.0
0.0,93969.51,64835.45,0.0
0.0,0.0,156993.99,0.0
0.0,0.0,158296.72,0.0
0.0,0.0,155732.15,0.0
0.0,0.0,157671.64,0.0
0.0,0.0,160706.49,0.0
0.0,0.0,160329.68,0.0
0.0,0.0,159140.87,0.0
0.0,0.0,164284.62,0.0
0.0,0.0,166714.83,0.0
0.0,0.0,167412.93,0.0
0.0,0.0,163828.96,0.0
0.0,0.0,162336.36,0.0
0.0,0.0,164713.99,0.0
0.0,0.0,174972.29,0.0
0.0,0.0,177770.54,0.0
0.0,70900.15,106865.07,0.0
0.0,0.0,179537.01,0.0
0.0,0.0,182286.36,0.0
0.0,0.0,182097.26,0.0
0.0,0.0,182810.05,0.0
0.0,0.0,181925.6,0.0
0.0,0.0,186475.86,0.0
0.0,0.0,190752.63,0.0
0.0,0.0,191834.89,0.0
0.0,0.0,190706.08,0.0
0.0,0.0,191925.1,0.0
0.0,0.0,195873.1,0.0
0.0,0.0,193647.43,0.0
0.0,0.0,186883.16,0.0
0.0,0.0,188471.67,0.0
0.0,0.0,187159.56,0.0
0.0,0.0,193048.1,0.0
23788.3,0.0,168983.5,0.0
0.0,0.0,194864.9,0.0
0.0,0.0,197937.5,0.0
0.0,0.0,195651.99,0.0
0.0,0.0,196873.44,0.0
0.0,0.0,196267.09,0.0
0.0,0.0,193800.87,0.0
0.0,0.0,197957.89,0.0
0.0,0.0,197068.76,0.0
0.0,0.0,194223.56,0.0
0.0,0.0,196086.36,0.0
0.0,0.0,155998.45,39363.15
0.0,0.0,197549.02,0.0
0.0,0.0,193891.61,0.0
0.0,0.0,193171.23,0.0
0.0,0.0,186705.15,0.0
0.0,0.0,191885.01,0.0
0.0,0.0,192097.91,0.0
0.0,0.0,197094.04,0.0
0.0,0.0,195600.74,0.0
0.0,0.0,193702.04,0.0
0.0,0.0,193809.94,0.0
0.0,0.0,193413.3,0.0
0.0,0.0,193573.72,0.0
0.0,0.0,193308.3,0.0
0.0,0.0,196927.77,0.0
0.0,0.0,202402.22,0.0
0.0,21715.74,179254.05,0.0
0.0,0.0,197125.8,0.0
0.0,0.0,185780.48,0.0
