Date,"['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD"
2017-02-21,90.34406253492502,0.10039999270733602,67.74877201730351,0.08373491490862561,69.99054242633603,0.0688335483134016,61.138044344780276,0.04585507551259116
2017-02-22,90.69575402003191,0.08242382065836695,66.67795243113906,0.08582715715491573,69.29304081602542,0.08080578624633439,59.32052385712971,0.024298140389384937
2017-02-23,85.92860464727227,0.04937150810177715,67.03336265587839,0.08203896270851407,66.35857794236142,0.06809526654178977,61.768556356857914,0.020679856441109812
2017-02-24,86.10480877920064,0.01899929378367826,63.58690217037359,0.06422290576016787,60.73008501118001,0.02916121625814916,61.768556356857914,0.013376030228343716
2017-02-27,86.48361342922205,-0.006070319920667866,64.06033134195104,0.048977767141593354,62.40983110641829,0.008790802416731802,55.91526547678587,-0.018491252607617303
2017-02-28,86.57132264259305,-0.029596403404673954,56.550548914433094,0.014721854891547315,59.50735911620368,-0.021232553961080036,52.481942835280634,-0.05592724225685386
2017-03-01,89.87064211765787,-0.010293673519844893,65.24624336688294,0.027795048291176072,63.58098534362954,-0.01854199339085416,62.10418865720355,-0.02462762641359617
2017-03-02,83.3346446522356,-0.01887169634579622,60.26854061358168,0.01693870119389751,60.19836092195229,-0.03440647131276309,51.272372873290735,-0.06138152170193434
2017-03-03,84.5315999170069,-0.020006330867578193,58.648370896429995,0.0013321228441357524,60.72183932423802,-0.04458968878182601,53.525135360115335,-0.07090572879940454
2017-03-06,81.16270620521743,-0.0350240073308592,57.25813240686103,-0.015642604168377705,57.954638640775485,-0.06410576844670546,53.71708259838867,-0.0754546381173114
2017-03-07,81.48771748766231,-0.048697131034522334,60.46452178039614,-0.015304446100674718,57.44590379114808,-0.07975107872319187,55.018137656458805,-0.07009788934579775
2017-03-08,77.336805498861,-0.07106199607152619,62.97081603354208,-0.006225218393589416,60.29570602728972,-0.07579020190696084,60.451535666098586,-0.03199116108576894
2017-03-09,74.81114627875236,-0.09458001632162505,65.24063907249422,0.007393100165818567,61.831794632561795,-0.06589357120388323,57.17422450176373,-0.024549522504922983
2017-03-10,76.02332103710499,-0.10582554844263792,68.14439850684096,0.02712865504941342,61.280295356911324,-0.06234545008251474,59.01500707163403,-0.010000213906417144
2017-03-13,76.18428786940666,-0.11446977338044895,69.51849923372932,0.04236069952191612,62.69372253686455,-0.05430074866816653,56.155542851078394,-0.016080855383814707
2017-03-14,74.30347639281382,-0.1247668730590219,69.56790258956207,0.046856472071580224,60.39736440814255,-0.05710539166169998,52.42543834387957,-0.03937270897256062
2017-03-15,78.33495122129439,-0.1104044807890534,70.58172682532401,0.04904446270137314,60.72822940930448,-0.058455806807154176,55.99333888506796,-0.03504483475424236
2017-03-16,78.89290421689114,-0.09944448166301323,71.60046704723042,0.049558769662273905,61.08636025029575,-0.05865858176008587,54.56741106418904,-0.039637102390296275
2017-03-17,72.75167451536404,-0.10473271617641133,73.67592342112258,0.05447411448635453,59.64174883928836,-0.06297567824607964,57.03105933139784,-0.02978165833425961
2017-03-20,76.83049223074693,-0.08756409258848852,67.73826750949033,0.03934458238009669,63.53997645950992,-0.051090444543214764,57.67595735715789,-0.021172137506029087
2017-03-21,65.24031443503593,-0.10276492218254862,47.751623504691786,-0.032805526717737066,48.60111831316905,-0.08836431007194523,48.3075792760863,-0.058959955245468154
2017-03-22,69.99467874135928,-0.08984978689308676,47.02693058995254,-0.08262670898151858,52.81748928239455,-0.09484866813133402,56.89495703111194,-0.03444725045571734
2017-03-23,66.87718009829605,-0.09057772301423772,38.37028847648052,-0.151031175263856,52.17259295185922,-0.09915617947920624,54.97583198808303,-0.02889798487876527
2017-03-24,65.12790700727709,-0.096354972412936,36.47385619603394,-0.19901531038583153,50.44600889321954,-0.10512558130959976,56.07308225534353,-0.019807615755415064
2017-03-27,65.9500489435317,-0.09707634819021416,41.495776895724234,-0.20509413749724645,51.62461747496818,-0.10207513118287403,57.2952585443698,-0.0083521733289873
2017-03-28,73.98566906831272,-0.05469548530865065,42.84636270783409,-0.19577659226023778,59.49556929960498,-0.06786722680919477,59.2298449470776,0.008063133909155168
2017-03-29,74.69054268551949,-0.0258863563664945,51.766951206129384,-0.1480150575102983,69.98960514402984,0.013395733637279056,61.03089765891002,0.026128407127942954
2017-03-30,73.41822232481971,-0.014585154559457525,51.83640442512288,-0.11135239300986549,70.88532028857921,0.06785011299717003,63.35541347731862,0.047699626786363414
