Date,AAPL,GOOG,AMZN,MSFT
2015-08-20,25.344058990478516,32.18903732299805,25.788999557495117,39.85243225097656
2015-08-21,23.7939510345459,30.479633331298828,24.723499298095703,37.59187316894531
2015-08-24,23.200002670288086,29.34152603149414,23.168500900268555,36.37865447998047
2015-08-25,23.33949089050293,28.96580696105957,23.318500518798828,35.32255172729492
2015-08-26,24.678129196166992,31.2828311920166,25.03849983215332,37.27764892578125
2015-08-27,25.404808044433594,31.730209350585938,25.918500900268555,38.31629943847656
2015-08-28,25.488054275512695,31.37041473388672,25.90049934387207,38.34248352050781
2015-08-31,25.368812561035156,30.766775131225586,25.644500732421875,37.984642028808594
2015-09-01,24.234912872314453,29.74859619140625,24.82699966430664,36.5008544921875
2015-09-02,25.274320602416992,30.572195053100586,25.52750015258789,37.844974517822266
2015-09-03,24.83110809326172,30.16960334777832,25.236000061035156,37.967166900634766
2015-09-04,24.583629608154297,29.89341163635254,24.950000762939453,37.19035720825195
2015-09-08,25.267578125,30.588119506835938,25.87700080871582,38.30756759643555
2015-09-09,24.7816162109375,30.4915771484375,25.844499588012695,37.59187316894531
2015-09-10,25.32606315612793,30.921043395996094,26.11199951171875,37.78388595581055
2015-09-11,25.695035934448242,31.141000747680664,26.472000122070312,37.94970703125
2015-09-14,25.94251251220703,31.015100479125977,26.069000244140625,37.56568145751953
2015-09-15,26.160747528076172,31.6072940826416,26.118499755859375,38.3861083984375
2015-09-16,26.190000534057617,31.649097442626953,26.36949920654297,38.6654052734375
2015-09-17,25.629783630371094,31.99346160888672,26.943500518798828,38.62177658081055
2015-09-18,25.524045944213867,31.314180374145508,27.01300048828125,37.94970703125
2015-09-21,25.920015335083008,31.622222900390625,27.41950035095215,38.49958801269531
2015-09-22,25.512802124023438,30.987730026245117,26.920000076293945,38.31629943847656
2015-09-23,25.719783782958984,30.97130584716797,26.803499221801758,38.29010772705078
2015-09-24,25.872772216796875,31.142494201660156,26.6875,38.32501983642578
2015-09-25,25.807527542114258,30.454254150390625,26.212499618530273,38.3511962890625
2015-09-28,25.29682159423828,29.604278564453125,25.202999114990234,37.78388595581055
2015-09-29,24.53638458251953,29.60826301574707,24.803499221801758,37.91478729248047
2015-09-30,24.815357208251953,30.277589797973633,25.594499588012695,38.6305046081543
2015-10-01,24.653371810913086,30.420413970947266,26.035999298095703,38.93598937988281
2015-10-02,24.833356857299805,31.19773292541504,26.62700080871582,39.77387619018555
