#{"t_start": 1747926801.86434, "env_id": "None"}
r,l,t
0.151299,365,342.953011
0.667246,365,345.168237
0.4492,365,345.37191
0.695193,365,345.580502
0.50066,365,345.777292
0.678061,365,345.981081
0.425074,365,347.51894
0.286804,365,347.751582
0.533529,365,347.95619
0.740143,365,348.151998
0.530974,365,348.347416
0.5701,365,348.52074
0.474781,365,350.950061
0.510698,365,351.38903
0.485492,365,351.824549
0.652852,365,352.245425
0.538244,365,352.682866
0.785963,365,355.064603
0.504797,365,355.277158
0.484078,365,355.482159
0.698409,365,355.683408
0.51328,365,355.875176
0.632357,365,356.064557
0.773493,365,357.47329
0.427677,365,357.698845
0.581587,365,357.895274
0.625884,365,358.103484
0.68294,365,358.303366
0.541133,365,358.491429
0.559304,365,360.984999
0.707526,365,361.403281
0.383241,365,361.824216
0.533141,365,362.260048
0.690517,365,362.696784
0.545804,365,365.065175
0.696334,365,365.279744
0.517264,365,365.467812
0.689339,365,365.680275
0.751959,365,365.875732
0.562978,365,366.082417
0.548831,365,367.532772
0.808785,365,367.74314
0.675891,365,367.945998
0.547703,365,368.148778
0.556053,365,368.353981
0.548496,365,370.632672
0.72265,365,371.064909
0.564011,365,371.481105
0.5728,365,371.918909
0.586777,365,372.338282
0.735308,365,372.774598
0.721565,365,375.148413
0.568317,365,375.345273
0.662177,365,375.534141
0.611597,365,375.711585
0.630943,365,375.894955
0.596824,365,376.068357
0.696253,365,377.540606
0.752647,365,377.741973
0.541609,365,377.932466
0.436416,365,378.131613
0.579894,365,378.336133
0.624167,365,380.625422
0.696403,365,381.041902
0.608591,365,381.477157
0.495583,365,381.947769
0.423296,365,382.402765
0.545816,365,382.826
0.619582,365,385.573242
0.534693,365,386.006531
0.602116,365,386.193228
0.53913,365,386.393806
0.672431,365,386.598717
0.73448,365,386.772373
0.688703,365,388.14651
0.492527,365,388.319714
0.738625,365,388.518234
0.596202,365,388.694283
0.579271,365,388.884216
0.607439,365,390.77497
0.749762,365,391.213397
0.686817,365,391.645843
0.390464,365,392.079892
0.606285,365,392.513958
0.846926,365,392.936413
0.616622,365,395.318075
0.882786,365,395.493008
0.613947,365,395.676513
0.626665,365,395.865446
0.5406,365,396.042027
0.686005,365,397.563984
0.710292,365,397.788461
0.87053,365,397.993521
0.663449,365,398.193933
0.645308,365,398.398397
0.423274,365,398.623862
0.558508,365,401.37342
0.746896,365,401.794562
0.49389,365,402.223967
0.655132,365,402.660328
0.450724,365,403.088103
0.710983,365,403.521488
0.649138,365,406.02811
0.47472,365,406.458624
0.399497,365,406.895326
0.612486,365,407.317994
0.694976,365,407.753748
0.659052,365,409.77583
0.661478,365,409.980773
0.712339,365,410.192031
0.527013,365,410.38752
0.702801,365,410.580387
0.77565,365,410.781807
0.636516,365,412.222223
0.545816,365,412.440806
0.834099,365,412.643853
0.589374,365,412.836771
0.566986,365,413.022889
0.655061,365,414.726595
0.830326,365,415.014691
0.596733,365,415.221956
0.625875,365,415.426996
0.754176,365,415.627523
0.676528,365,415.817204
0.809216,365,417.444456
0.643466,365,417.660918
0.832874,365,417.852536
0.739692,365,418.042135
0.860962,365,418.241455
0.610594,365,418.414421
0.561076,365,420.252548
0.617111,365,420.452185
0.770105,365,420.658304
0.733929,365,420.860225
0.486104,365,421.04867
0.736242,365,422.475518
0.753502,365,422.719611
0.877263,365,422.893169
0.702298,365,423.10009
0.612999,365,423.287997
0.596731,365,423.500808
0.656568,365,425.784071
0.665787,365,426.207889
0.873922,365,426.643303
0.803698,365,427.076151
0.996812,365,427.491581
0.742792,365,429.703562
0.679675,365,429.922523
0.590692,365,430.141336
0.91473,365,430.330105
0.706247,365,430.534553
0.608467,365,430.735338
0.713493,365,432.172159
0.550496,365,432.376031
0.663195,365,432.556775
0.849673,365,432.756182
0.595692,365,432.940453
0.645033,365,433.138027
0.59132,365,435.553443
0.572009,365,435.97735
0.421805,365,436.415463
0.696059,365,436.837008
0.838116,365,437.271517
0.645067,365,440.140088
0.766727,365,440.552858
0.812018,365,440.991853
0.684642,365,441.410368
0.730017,365,441.86106
0.572134,365,442.299912
0.834529,365,444.655119
0.986826,365,444.847819
0.771538,365,445.022805
0.644096,365,445.217367
0.476355,365,445.397363
0.911872,365,445.573884
0.776547,365,447.028029
0.620249,365,447.23377
0.842957,365,447.435387
0.677564,365,447.639184
0.800584,365,447.827931
0.791803,365,450.096979
0.773667,365,450.52886
0.696956,365,450.9557
0.895742,365,451.374276
0.791078,365,451.811905
0.835155,365,452.234191
0.702038,365,454.639048
0.914568,365,454.851811
0.837508,365,455.041681
0.983585,365,455.233335
0.69049,365,455.431577
0.845696,365,457.023375
0.938756,365,457.26246
0.837587,365,457.454354
0.855341,365,457.653367
0.823724,365,457.858285
0.883626,365,458.05074
0.640006,365,460.50107
0.635734,365,460.936925
0.817501,365,461.375347
0.731892,365,461.799153
0.754817,365,462.220796
0.769528,365,462.653227
0.753614,365,464.917428
0.78147,365,465.109143
0.861574,365,465.279458
0.790932,365,465.466665
0.944587,365,465.652553
0.728401,365,467.093156
0.658356,365,467.294161
0.775177,365,467.491759
0.929928,365,467.668819
0.859414,365,467.857953
0.721331,365,468.035789
0.776386,365,470.406446
0.701561,365,470.844683
0.885524,365,471.283218
0.830275,365,471.725878
0.811623,365,472.151932
0.912384,365,474.210219
0.73939,365,474.417709
0.706077,365,474.635556
0.778788,365,474.82462
0.629173,365,475.030199
