AAPL,GOOG,AMZN,MSFT
0.0,0.0,133189.68,0.0
0.0,0.0,130835.28,0.0
0.0,0.0,131173.39,0.0
0.0,0.0,131226.13,0.0
0.0,0.0,130652.26,0.0
0.0,0.0,130003.95,0.0
0.0,0.0,132417.29,0.0
0.0,0.0,134529.73,0.0
0.0,0.0,134269.17,0.0
0.0,0.0,133701.51,0.0
0.0,0.0,132414.19,0.0
0.0,0.0,134092.36,0.0
0.0,0.0,132144.31,0.0
0.0,0.0,131908.56,0.0
0.0,0.0,130813.57,0.0
0.0,0.0,131480.49,0.0
0.0,0.0,133890.72,0.0
0.0,0.0,132649.94,0.0
46155.93,0.0,85031.53,0.0
0.0,0.0,90035.58,43323.47
0.0,0.0,131859.85,0.0
0.0,0.0,132682.1,0.0
0.0,0.0,119587.83,13670.54
0.0,0.0,133280.02,0.0
0.0,0.0,135011.78,0.0
0.0,0.0,133215.08,0.0
0.0,0.0,132030.69,0.0
0.0,0.0,130963.8,0.0
0.0,0.0,131576.11,0.0
385.97,34366.65,98681.09,0.0
0.0,0.0,134115.17,0.0
0.0,0.0,133170.42,0.0
0.0,0.0,122084.28,9186.31
0.0,0.0,132382.92,0.0
0.0,0.0,132553.32,0.0
0.0,0.0,136141.29,0.0
0.0,0.0,134756.3,0.0
0.0,0.0,135180.79,0.0
0.0,0.0,138186.24,0.0
47827.35,0.0,89726.5,0.0
0.0,6925.66,130375.27,0.0
0.0,0.0,136676.98,0.0
0.0,0.0,134106.29,0.0
0.0,0.0,135425.95,0.0
0.0,0.0,136455.47,0.0
0.0,0.0,136555.31,0.0
0.0,52367.39,83813.09,0.0
0.0,0.0,136392.86,0.0
0.0,15381.77,118826.07,0.0
0.0,0.0,135672.67,0.0
0.0,0.0,138521.12,0.0
0.0,28806.11,113587.65,0.0
0.0,0.0,145519.39,0.0
0.0,0.0,144150.37,0.0
0.0,0.0,148616.88,0.0
0.0,0.0,150970.46,0.0
0.0,0.0,152561.41,0.0
0.0,0.0,152530.15,0.0
0.0,0.0,152614.54,0.0
0.0,0.0,150711.04,0.0
0.0,0.0,165476.46,0.0
0.0,49112.5,117092.3,0.0
0.0,0.0,164522.15,0.0
0.0,0.0,165451.05,0.0
0.0,0.0,167878.08,0.0
0.0,0.0,167687.3,0.0
0.0,0.0,167337.0,0.0
0.0,0.0,166358.05,0.0
0.0,0.0,167956.27,0.0
0.0,8776.09,156928.69,0.0
0.0,0.0,163564.07,0.0
0.0,0.0,163995.97,0.0
0.0,0.0,165078.84,0.0
0.0,0.0,164593.74,0.0
74766.8,0.0,90411.16,0.0
0.0,0.0,165758.02,0.0
0.0,0.0,166911.88,0.0
0.0,0.0,166849.51,0.0
0.0,0.0,166194.61,0.0
9042.4,0.0,151915.69,0.0
0.0,0.0,154307.93,0.0
0.0,0.0,144602.65,0.0
0.0,0.0,145538.85,0.0
0.0,0.0,156273.96,0.0
0.0,0.0,161766.35,0.0
0.0,0.0,161654.0,0.0
0.0,0.0,160056.22,0.0
0.0,0.0,154953.92,0.0
0.0,0.0,159325.98,0.0
0.0,0.0,157506.63,0.0
0.0,0.0,155721.61,0.0
0.0,0.0,161507.34,0.0
0.0,41446.03,119779.56,0.0
0.0,0.0,162894.33,0.0
0.0,0.0,165140.12,0.0
0.0,0.0,162626.09,0.0
0.0,0.0,162934.88,0.0
0.0,0.0,164500.69,0.0
0.0,0.0,168081.48,0.0
0.0,0.0,168515.04,0.0
0.0,0.0,171050.91,0.0
0.0,0.0,167934.88,0.0
0.0,0.0,167208.11,0.0
0.0,0.0,166484.47,0.0
0.0,0.0,163521.28,0.0
0.0,0.0,157223.72,0.0
0.0,0.0,154731.52,0.0
0.0,0.0,159666.02,0.0
0.0,0.0,162420.22,0.0
0.0,0.0,166107.06,0.0
0.0,0.0,169581.79,0.0
0.0,0.0,167647.92,0.0
0.0,0.0,169039.06,0.0
0.0,0.0,166300.45,0.0
0.0,0.0,168371.56,0.0
0.0,0.0,171612.35,0.0
0.0,0.0,171209.98,0.0
0.0,0.0,169940.49,0.0
0.0,0.0,175433.31,0.0
0.0,0.0,178028.44,0.0
0.0,0.0,178773.91,0.0
0.0,0.0,174946.72,0.0
0.0,0.0,173352.83,0.0
0.0,0.0,175891.82,0.0
0.0,0.0,186846.27,0.0
0.0,5922.15,183908.56,0.0
0.0,37165.91,153043.86,0.0
0.0,0.0,192105.6,0.0
0.0,11143.57,183796.83,0.0
0.0,0.0,194738.17,0.0
0.0,0.0,195500.44,0.0
0.0,0.0,194554.6,0.0
0.0,0.0,199420.73,0.0
0.0,0.0,203994.39,0.0
0.0,0.0,205151.78,0.0
0.0,0.0,203944.61,0.0
0.0,0.0,205248.25,0.0
0.0,0.0,209470.31,0.0
0.0,0.0,207090.15,0.0
0.0,0.0,199856.31,0.0
0.0,0.0,201555.09,0.0
0.0,0.0,183580.94,16549.68
0.0,0.0,206427.26,0.0
0.0,0.0,205721.07,0.0
0.0,0.0,207954.78,0.0
0.0,0.0,211233.77,0.0
0.0,0.0,208794.74,0.0
0.0,0.0,210098.24,0.0
0.0,0.0,209451.15,0.0
0.0,0.0,206819.27,0.0
0.0,0.0,211255.54,0.0
0.0,0.0,210306.68,0.0
0.0,0.0,207270.35,0.0
0.0,0.0,209258.28,0.0
0.0,0.0,208384.1,0.0
0.0,0.0,210717.35,0.0
0.0,0.0,206816.14,0.0
0.0,0.0,206047.74,0.0
0.0,0.0,199150.64,0.0
44842.29,0.0,158342.27,0.0
0.0,0.0,203410.01,0.0
0.0,0.0,184993.96,23496.39
0.0,0.0,206910.71,0.0
0.0,0.0,204902.22,0.0
0.0,0.0,205016.36,0.0
0.0,0.0,204596.79,0.0
0.0,0.0,204766.48,0.0
0.0,0.0,204485.71,0.0
0.0,0.0,208314.47,0.0
0.0,0.0,214105.46,0.0
0.0,0.0,212593.68,0.0
0.0,0.0,208527.35,0.0
0.0,0.0,196525.83,0.0
