Date,AAPL,GOOG,AMZN,MSFT
2015-03-03,28.851835250854492,28.468629837036133,19.230499267578125,37.28536605834961
2015-03-04,28.668943405151367,28.455228805541992,19.13599967956543,37.0958366394043
2015-03-05,28.19388198852539,28.552499771118164,19.39150047302246,37.138912200927734
2015-03-06,28.236249923706055,28.173093795776367,19.004499435424805,36.492794036865234
2015-03-09,28.356691360473633,28.230911254882812,18.92799949645996,36.91490936279297
2015-03-10,27.770112991333008,27.544057846069336,18.475500106811523,36.2085075378418
2015-03-11,27.263826370239258,27.35398292541504,18.318500518798828,36.16542053222656
2015-03-12,27.756729125976562,27.568872451782227,18.711999893188477,35.33839416503906
2015-03-13,27.564918518066406,27.16242027282715,18.52899932861328,35.64852523803711
2015-03-16,27.868247985839844,27.519245147705078,18.667499542236328,35.80360794067383
2015-03-17,28.334388732910156,27.33711051940918,18.59600067138672,35.9241943359375
2015-03-18,28.653331756591797,27.766887664794922,18.756999969482422,36.613399505615234
2015-03-19,28.43698501586914,27.691951751708984,18.66200065612793,36.4324951171875
2015-03-20,28.08013343811035,27.809566497802734,18.92449951171875,36.94077682495117
2015-03-23,28.372304916381836,27.73264503479004,18.75550079345703,36.92353439331055
2015-03-24,28.256328582763672,28.297412872314453,18.704500198364258,36.95800018310547
2015-03-25,27.518083572387695,27.731403350830078,18.54800033569336,35.71746063232422
2015-03-26,27.70989227294922,27.552000045776367,18.36750030517578,35.5020751953125
2015-03-27,27.489091873168945,27.21303939819336,18.527999877929688,35.29532241821289
2015-03-30,28.184961318969727,27.396169662475586,18.72949981689453,35.28669738769531
2015-03-31,27.752267837524414,27.196165084838867,18.604999542236328,35.02825164794922
2015-04-01,27.71211814880371,26.926189422607422,18.51300048828125,35.079959869384766
2015-04-02,27.950767517089844,26.577302932739258,18.612499237060547,34.70950698852539
2015-04-06,28.40352439880371,26.638593673706055,18.851999282836914,35.79497528076172
2015-04-07,28.10466766357422,26.651248931884766,18.720500946044922,35.77775192260742
2015-04-08,28.013219833374023,26.87904167175293,19.059999465942383,35.68300247192383
2015-04-09,28.22733497619629,26.83785057067871,19.177000045776367,35.73467254638672
2015-04-10,28.347776412963867,26.799638748168945,19.13249969482422,35.94144058227539
2015-04-13,28.29201316833496,26.75794792175293,19.118000030517578,35.97590637207031
2015-04-14,28.169342041015625,26.322216033935547,19.25550079345703,35.881141662597656
2015-04-15,28.276395797729492,26.42841911315918,19.172500610351562,36.40663528442383
2015-04-16,28.140352249145508,26.49144744873047,19.302000045776367,36.32048797607422
2015-04-17,27.823640823364258,26.0075740814209,18.777999877929688,35.855281829833984
2015-04-20,28.45929527282715,26.569860458374023,19.475500106811523,36.966609954833984
2015-04-21,28.30539894104004,26.49988555908203,19.55900001525879,36.734012603759766
2015-04-22,28.686786651611328,26.767627716064453,19.489999771118164,37.03553771972656
2015-04-23,28.920976638793945,27.14653778076172,19.499500274658203,37.33705139160156
2015-04-24,29.057025909423828,28.04281997680664,22.2549991607666,41.2396240234375
2015-04-27,29.585615158081055,27.63759422302246,21.92799949645996,41.37746047973633
2015-04-28,29.119478225708008,27.55349349975586,21.465499877929688,42.35093307495117
2015-04-29,28.69125747680664,27.32457733154297,21.4685001373291,42.26478958129883
